קטגוריה,ניסוח Lemonade לבעל הדירה,טיפ UX,סוג שדה
עליך (בעל הדירה),בוא נתחיל בשמך – איך נכתוב אותך בתור בעל הבית? 🙂,כמו בתעודת זהות – שם פרטי + שם משפחה,text
עליך (בעל הדירה),ואיך אפשר לפנות אליך אם נצטרך?,מספר טלפון שיש לך עליו וואטסאפ 📱,phone
אחר,ולמקרה שנצטרך – איפה אתה גר ביומיום?,רק לצורך ניסוח החוזה. לא נשתמש בזה מעבר,address
על הדירה,איפה נמצא הנכס שאתה משכיר?,"עיר, רחוב, מספר, דירה – כמה שיותר מדויק 🏠",address
על הדירה,יש חניה ששייכת לדירה?,אם כן – נכניס אותה לחוזה,"single_select: ['כן', 'לא']"
על הדירה,יש גם מחסן שמגיע עם הדירה?,"לא חובה, אבל שווה לציין אם יש","single_select: ['כן', 'לא']"
על הדירה,באיזו קומה הדירה שלך נמצאת?,"אם זה בניין, באיזו קומה היא? אפשר גם 'קרקע'",number
על הדירה,יש מעלית בבניין?,כדי שהשוכרים לא יופתעו...,"single_select: ['כן', 'לא']"
על הדירה,השארת בדירה משהו שתרצה לציין? נגיד רהיטים או מכשירים?,"למשל: מיטה זוגית, ארון, מקרר...",long_text
על השוכרים,מי השוכר שאתה סוגר איתו את החוזה?,שם מלא של כל שוכר,"repeating_group: name, id, phone"
אחר,יש מישהו אחר שמשלם בשבילו?,למשל הורה או גוף תומך,"single_select: ['כן', 'לא']"
על הדירה,מתי השוכר שלך נכנס לגור בדירה?,תאריך התחלה של השכירות,date
על השכירות,לכמה זמן אתם סוגרים את החוזה?,רוב החוזים הם לשנה – אבל זה לגמרי תלוי בך,number
על הדירה,כמה שכר דירה אתה גובה כל חודש?,כמה ייכנס לך לחשבון כל חודש 💸,currency
על השכירות,באיזה תאריך בכל חודש תרצה לקבל את התשלום?,למשל: בכל 1 לחודש,date_day_only
על השכירות,מה הדרך הכי נוחה לך לקבל את התשלום?,מה שהכי נוח לך,"single_select: ['העברה בנקאית', 'שיקים', 'אחר']"
על השכירות,רוצה להשאיר אופציה להארכת חוזה?,כדי לאפשר לשוכר להמשיך בלי חוזה חדש,"single_select: ['כן', 'לא']"
אחר,מה משאיר אותך רגוע?,בחר את הבטחונות שתרצה לקבל,"multi_select: ['צ׳ק ביטחון', 'שטר חוב', 'ערבות בנקאית', 'ערב']"
